experiment,split,target_model,compared_model,alternative,n_pairs,mean_target,mean_compared,mean_diff_target_minus_compared,W_stat,p_value,p_bonferroni,reject_bonf_0.05
model_comparison,valid,SE_MDTCN_raw,EEGConformer,greater,15,0.7811111187934875,0.4364444454511006,0.3446666733423868,120.0,3.0517578125e-05,0.000213623046875,True
model_comparison,valid,SE_MDTCN_raw,EEGNet,greater,15,0.7811111187934875,0.39022222359975184,0.3908888951937358,120.0,3.0517578125e-05,0.000213623046875,True
model_comparison,valid,SE_MDTCN_raw,EEGTCNet,greater,15,0.7811111187934875,0.3822222248713175,0.3988888939221701,120.0,3.0517578125e-05,0.000213623046875,True
model_comparison,valid,SE_MDTCN_raw,HS_STDCN,greater,15,0.7811111187934875,0.3657777806123097,0.41533333818117785,120.0,3.0517578125e-05,0.000213623046875,True
model_comparison,valid,SE_MDTCN_raw,TSception_Full,greater,15,0.7811111187934875,0.5924444476763407,0.18866667111714683,120.0,3.0517578125e-05,0.000213623046875,True
model_comparison,valid,SE_MDTCN_raw,DGCNN,greater,15,0.7811111187934875,0.5553333421548208,0.22577777663866677,120.0,0.00032665539070756886,0.002286587734952982,True
model_comparison,valid,SE_MDTCN_raw,SE_MDTCN_clean,greater,15,0.7811111187934875,0.7548888953526816,0.02622222344080606,115.0,0.0008907795702940697,0.006235456992058488,True
model_comparison,test,SE_MDTCN_raw,TSception_Full,greater,15,0.7440000000000001,0.5046666666666667,0.23933333333333337,120.0,3.0517578125e-05,0.000213623046875,True
model_comparison,test,SE_MDTCN_raw,EEGConformer,greater,15,0.7440000000000001,0.36933333333333335,0.37466666666666676,120.0,0.00032419262673079855,0.00226934838711559,True
model_comparison,test,SE_MDTCN_raw,DGCNN,greater,15,0.7440000000000001,0.504,0.23999999999999996,120.0,0.00032665539070756886,0.002286587734952982,True
model_comparison,test,SE_MDTCN_raw,EEGNet,greater,15,0.7440000000000001,0.28800000000000003,0.45600000000000007,120.0,0.00032665539070756886,0.002286587734952982,True
model_comparison,test,SE_MDTCN_raw,EEGTCNet,greater,15,0.7440000000000001,0.3053333333333333,0.4386666666666667,120.0,0.00032665539070756886,0.002286587734952982,True
model_comparison,test,SE_MDTCN_raw,HS_STDCN,greater,15,0.7440000000000001,0.26666666666666666,0.47733333333333333,120.0,0.00032665539070756886,0.002286587734952982,True
model_comparison,test,SE_MDTCN_raw,SE_MDTCN_clean,greater,15,0.7440000000000001,0.6906666666666668,0.053333333333333316,103.5,0.0006814630121756765,0.004770241085229735,True
